id;nombre;categoria;subcategoria;municipio;latitud;longitud;calle;numero;piso;oficina;departamento;entre_calle_1;entre_calle_2;codigo_postal;otra_info_dire;referente_1;mail_referente_1;tel_referente_1;referente_2;mail_referente_2;tel_referente_2;referente_3;mail_referente_3;tel_referente_3;referente_4;mail_referente_4;tel_referente_4;referente_5;mail_referente_5;tel_referente_5;tipo_contacto_1;contacto_1;tipo_contacto_2;contacto_2;tipo_contacto_3;contacto_3;telefono_1;telefono_2;telefono_3;telefono_4;telefono_5;telefono_6;telefono_7;telefono_8;telefono_9;telefono_10;telefono_11;horario_lunes;horario_martes;horario_miercoles;horario_jueves;horario_viernes;horario_sabado;horario_domingo;guardia
14;Dirección de Mujer y Políticas de Género;Asistencia a la Mujer y Familia;Oficinas Gubernamentales;Tres de Febrero;-346.062;-585.582;Avenida Justo José de Urquiza;4473;;;;;;;;Alejandra  Vargas (Directora de Mujer y Políticas de Género);;;;;;;;;;;;;;;Mail;direccionmujerygenero@tresdefebrero.gov.ar;;;;;(11) 51625914;(11) 47508603;;;;;;;;;;08:00-17:00;08:00-17:00;08:00-17:00;08:00-17:00;08:00-17:00;;;
18;Servicio Local de Niñez;Niñez y Adolescencia;Oficinas Gubernamentales;Nueve de Julio;-354.531.873;-608.774.063;Urquiza ;1162;;;;;;;;Emiliana  Chavez (coordinadora de programas y medidas: María Marquez);;;;;;;;;;;;;;;;;;;;;(2317) 610073;(2317) 610074;;;;;;;;;;08:00-14:00;08:00-14:00;08:00-14:00;08:00-14:00;08:00-14:00;;;
19;Delegación del Ministerio de Trabajo de la Provincia de Buenos Aires;Otros servicios;Empleo;Nueve de Julio;-354.458.588;-60.882.988;Vedia;681;;;;;;;;Cecilia Edith  Viegas;viegasc@trabajo.gba.gov.ar;;;;;;;;;;;;;;Mail;d9dejulio@trabajo.gba.gov.ar;;;;;(2317) 422456;;;;;;;;;;;08:00-14:00;08:00-14:00;08:00-14:00;08:00-14:00;08:00-14:00;;;
20;Secretaría de Desarrollo Comunitario;Desarrollo y Acción Social;Oficinas Gubernamentales;Nueve de Julio;-354.531.873;-608.774.063;Urquiza;1162;;;;;;;;;;;;;;;;;;;;;;;Mail;desarrollo@9dejulio.gov.ar;;;;;(2317) 610071;(2317) 610070;;;;;;;;;;;;;;;;;
21;Subsecretaría de Niñez  Adolescencia y Familia;Niñez y Adolescencia;Oficinas Gubernamentales;Nueve de Julio;-354.531.873;-608.774.063;Avenida Urquiza ;1162;;;;;;;;María Fernanda  Rodríguez (Subsecretaria interina);;;Paula  Martí (Subsecretaria);;;;;;;;;;;;;;;;;;(2317) 610073;(2317) 610074;;;;;;;;;;;;;;;;;
22;Comisaría de la Mujer y de la Familia;Seguridad;Comisarías de la Mujer;Nueve de Julio;-3.544.532.428;-6.087.698.174;Tucumán ;702;;;;Edison ;;;;Emmanuel  Maccarino (Jefe Oficial Principal);;;;;;;;;;;;;;;;;;;;;(2317) 610062;;;;;;;;;;;08:00-12:00&14:00-20:00;08:00-12:00&14:00-20:00;08:00-12:00&14:00-20:00;08:00-12:00&14:00-20:00;08:00-12:00&14:00-20:00;;;
23;Comisaría;Seguridad;Comisarías;Nueve de Julio;-3.565.019.152;-6.070.563.113;9 de Julio ;;;;;Colón;;;;;;;;;;;;;;;;;;;;;;;;;(2317) 492013;;;;;;;;;;;;;;;;;;
25;Oficina Descentralizada de Política Criminal;Seguridad;Oficinas Gubernamentales;Nueve de Julio;-354.434.753;-60.886.363;Libertad ;934;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(2317) 430580;(2317) 422243 int.: 12;;;;;;;;;;;;;;;;;
26;Juzgado de Paz;Justicia;Juzgados;Nueve de Julio;-35.444.563;-60.882.583;Hipólito Yrigoyen ;854;;;;Mitre;La Rioja;;;Alejandro  Casas;;;;;;;;;;;;;;;;;;;;;(2317) 422346;;;;;;;;;;;;;;;;;;
27;Ayudantía Fiscal;Justicia;Unidades Fiscales;Nueve de Julio;-35.441.219;-608.907.937;Mendoza ;1230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(2317) 426357;;;;;;;;;;;07:30-13:30;07:30-13:30;07:30-13:30;07:30-13:30;07:30-13:30;;;
34;Secretaría de Prevención de las Adicciones;Salud;Adicciones;Nueve de Julio;-3.543.591.121;-6.089.089.346;25 de Mayo ;1596;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(2317) 610049;;;;;;;;;;;08:00-13:00;13:00-18:00;08:00-13:00;08:00-13:00;08:00-13:00;;;
36;Centro de Pronta Atención;Salud;Atención Primaria - CAPS;Veinticinco de Mayo;-3.543.607.624;-6.017.546.102;Calle 25;1043;;;;Calle 11;Calle 12;;;Diana  Rojas (Coordinadora);;;;;;;;;;;;;;;Mail;cpa25demayo@gmail.com;;;;;(2345) 463098;;;;;;;;;;;08:00-14:00;08:00-14:00;08:00-14:00;08:00-14:00;08:00-14:00;;;
37;Hospital Municipal Saturnino Unzué;Salud;Hospitales;Veinticinco de Mayo;-3.542.555.342;-6.016.045.834;Calle 37;;;;;Clle 101;;;;;;;;;;;;;;;;;;;Mail;htalunzue@gmail.com;;;;;(2345) 462267;(2345) 464849;;;;;;;;;;;;;;;;;
38;Hospital Local General San Roque;Salud;Hospitales;Veinticinco de Mayo;-3.526.904.981;-5.977.904.542;Güemes;1235;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(2343) 440909;;;;;;;;;;;;;;;;;;
39;Unidad Sanitaria Gobernador Ugarte;Salud;Atención Primaria - CAPS;Veinticinco de Mayo;-3.516.710.362;-6.008.496.392;Córdoba;;;;;Constitucion Nacional;Directorio;;;;;;;;;;;;;;;;;;;;;;;;(2346) 493022;;;;;;;;;;;;;;;;;;
40;Unidad Sanitaria 25 de Mayo;Salud;Atención Primaria - CAPS;Veinticinco de Mayo;-3.542.288.541;-6.017.624.372;Calle 14;;;;;Calle 37;Calle 39;;Dispensario Barrio Verón;;;;;;;;;;;;;;;;;;;;;;(2345) 519295;;;;;;;;;;;;;;;;;;
41;Dispensario Municipal Villa Obrera;Salud;Otros Salud;Veinticinco de Mayo;-3.543.494.741;-6.018.584.283;Calle 25;;;;;Calle 202;;;Villa Obrera 6660;;;;;;;;;;;;;;;;;;;;;;(2345) 510614;;;;;;;;;;;;;;;;;;
42;Dispensario Barrio San Pedro;Salud;Otros Salud;Veinticinco de Mayo;-3.544.159.386;-6.017.931.763;Calle 14;;;;;Calle 301;;;;;;;;;;;;;;;;;;;;;;;;;(2345) 654284;;;;;;;;;;;;;;;;;;
43;Centro de Atención Primaria de la Salud Milagros;Salud;Atención Primaria - CAPS;Veinticinco de Mayo;-3.542.630.726;-6.018.360.054;Calle 34;;;;;Calle 201;Calle 202;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;Unidad Sanitaria del Valle;Salud;Atención Primaria - CAPS;Veinticinco de Mayo;-358.955.516;-6.072.621.184;Calle 3;;;;;Calle 2;Calle 4;;;;;;;;;;;;;;;;;;;;;;;;(2345) 496389;;;;;;;;;;;;;;;;;;
45;Sala de Primeros Auxilios Dr.Humberto Terrizano;Salud;Primeros Auxilios;Veinticinco de Mayo;-3.527.031.402;-5.955.649.881;San Martín ;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(2343) 494440;;;;;;;;;;;;;;;;;;
46;Unidad Sanitaria Agustín Mosconi;Salud;Atención Primaria - CAPS;Veinticinco de Mayo;-3.574.496.123;-6.055.185.274;Calle 6;;;;;Calle 10;Calle 11;;;;;;;;;;;;;;;;;;;;;;;;(2345) 491025;;;;;;;;;;;;;;;;;;
47;Unidad Sanitaria Pedernales Dr. Pedro Bermudez;Salud;Atención Primaria - CAPS;Veinticinco de Mayo;-3.526.726.484;-5.963.426.526;Falucho;;;;;Río Negro;Islas Malvinas;;;;;;;;;;;;;;;;;;;;;;;;(2343) 498415;;;;;;;;;;;;;;;;;;
48;Unidad Sanitaria San Enrique;Salud;Atención Primaria - CAPS;Veinticinco de Mayo;-3.578.176.513;-6.035.486.668;Sarmiento;;;;;Córdoba;;;;;;;;;;;;;;;;;;;;;;;;;(2345) 495048;;;;;;;;;;;;;;;;;;
49;Unidad Sanitaria Valdes;Salud;Atención Primaria - CAPS;Veinticinco de Mayo;-356.490.934;-6.046.669.271;José de San Martín;;;;;Moreno;Juan José Paso;;;;;;;;;;;;;;;;;;;;;;;;(2345) 493039;;;;;;;;;;;;;;;;;;
50;Hospital Provincial Zonal General de Lobos;Salud;Hospitales;Lobos;-3.518.377.582;-590.920.913;Maestro Pietro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(2227) 421212;(2227) 422135;(2227) 431630;;;;;;;;;;;;;;;;
52;Hospital Provincial Zonal General Dr. Alejandro Posadas Saladillo;Salud;Hospitales;Saladillo;-3.563.795.706;-5.977.127.232;Doctor Emparanza;2753;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(2344) 453044;(2344) 454112;;;;;;;;;;;;;;;;;
53;Hospital Subzonal General de Agudos Julio de Vedia;Salud;Hospitales;Nueve de Julio;-3.543.751.475;-6.088.094.369;Tomás Cosentino;1223;;;;;;;;Fernando  Ramirez (Director);;;;;;;;;;;;;;;;;;;;;(2317) 430004;(2317) 430025;(2317) 430525;(2317) 430125;(2317) 422196;;;;;;;;;;;;;;24 horas
54;Hospital Municipal Enriqueta Dudignac;Salud;Hospitales;Nueve de Julio;-3.564.640.127;-6.070.325.659;Doctor Samprieto;1044;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(2317) 492018;;;;;;;;;;;;;;;;;;24 horas
55;Hospital Municipal Dr. Manuel Federico Arce;Salud;Hospitales;Nueve de Julio;-352.923.095;-6.140.670.631;28 de Marzo;290;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(2317) 491014;;;;;;;;;;;;;;;;;;24 horas
56;Hogar de Ancianos Municipal Santo Domingo de Guzmán;Otros servicios;Tercera Edad;Nueve de Julio;-3.543.617.989;-6.088.005.664;Eva Perón;438;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(2317) 422341;(2317) 422367;;;;;;;;;;;;;;;;;
57;Unidad Sanitaria Dr. Jorge Aguilar;Salud;Atención Primaria - CAPS;Nueve de Julio;-3.523.895.025;-6.082.563.156;Martín Fierro;;;;;11 de Noviembre;;;;;;;;;;;;;;;;;;;;;;;;;(2317) 498024;;;;;;;;;;;;;;;;;;
58;Unidad Sanitaria Dennehy;Salud;Atención Primaria - CAPS;Nueve de Julio;-3.535.122.563;-6.074.499.345;Maipú;;;;;Buenos Aires; S/N;;;;;;;;;;;;;;;;;;;;;;;;(2317) 480105;;;;;;;;;;;;;;;;;;
59;Unidad de Primeros Auxilios Regina Trombetta;Salud;Primeros Auxilios;Nueve de Julio;-3.560.710.844;-6.091.736.123;Juan XXIII;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(2317) 496001;;;;;;;;;;;;;;;;;;
60;Sala de Primeros Auxilios Hilaria Castellanos;Salud;Primeros Auxilios;Nueve de Julio;-3.551.895.181;-6.100.305.796;Rivadavia;;;;;Estrada;;;;;;;;;;;;;;;;;;;;;;;;;(2317) 497654;;;;;;;;;;;;;;;;;;
61;Unidad Sanitaria Morea;Salud;Atención Primaria - CAPS;Nueve de Julio;-3.555.495.122;-6.056.226.433;Doctor Murua;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(2317) 498009;;;;;;;;;;;;;;;;;;
62;Unidad Sanitaria Patricios;Salud;Atención Primaria - CAPS;Nueve de Julio;-3.543.926.673;-6.071.697.634;Doctor Pellegrini;;;;;Avenida Saavedra;;;;;;;;;;;;;;;;;;;;;;;;;(2317) 499107;;;;;;;;;;;;;;;;;;
63;Sala de Primeros Auxilios Dr. Héctor Lizarralde;Salud;Primeros Auxilios;Nueve de Julio;-3.545.448.068;-6.089.486.811;Tucumán;2520;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(2317) 422348;;;;;;;;;;;;;;;;;;
64;Unidad Sanitaria Esteban Solabarrieta;Salud;Atención Primaria - CAPS;Nueve de Julio;-3.540.712.677;-6.120.685.863;Luis Re ;;;;;Esteban Solabarrieta ;;;;;;;;;;;;;;;;;;;;;;;;;(2317) 493062;;;;;;;;;;;;;;;;;;
65;Sala de Primeros Auxilios El Provincial;Salud;Primeros Auxilios;Nueve de Julio;-3.549.914.776;-6.087.274.999;Avenida Circunvalación;;;;;;;;Ex Estación Ferrocarril Provincial ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;Unidad Sanitaria Norumbega;Salud;Atención Primaria - CAPS;Nueve de Julio;-3.553.430.511;-6.079.344.713;Zona Rural;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;Unidad Sanitaria Dr. Norman Moscato;Salud;Atención Primaria - CAPS;Nueve de Julio;-3.546.391.912;-6.086.932.539;Almirante Brown;900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(2317) 423246;;;;;;;;;;;;;;;;;;
68;Unidad Sanitaria Barrio Parque Julio de Vedia;Salud;Atención Primaria - CAPS;Nueve de Julio;-3.544.299.405;-6.087.329.155;Arturo Cano;;;;;San Luis ;;;;;;;;;;;;;;;;;;;;;;;;;(2345) 668752;;;;;;;;;;;;;;;;;;
69;Unidad Sanitaria Barrio Luján;Salud;Atención Primaria - CAPS;Nueve de Julio;-3.544.617.835;-6.089.940.606;Eva Perón;;;;;Agustín Álvarez;;;;;;;;;;;;;;;;;;;;;;;;;(2317) 610033;;;;;;;;;;;;;;;;;;
70;Sala de Primeros Auxilios Alborada II;Salud;Primeros Auxilios;Nueve de Julio;-3.545.723.175;-6.088.817.366;Heredia ;;;;;Sarmiento;;;;;;;;;;;;;;;;;;;;;;;;;(2317) 610030;;;;;;;;;;;;;;;;;;
71;Sala de Primeros Auxilios Dr. Albert Sabín;Salud;Primeros Auxilios;Nueve de Julio;-3.543.299.207;-608.915.547;Irigoyen ;;;;;Pueyrredón;;;;;;;;;;;;;;;;;;;;;;;;;(2317) 610031;;;;;;;;;;;;;;;;;;
72;Centro Integrador Comunitario Dr. Martín Callegaro;Desarrollo y Acción Social;Centro Integrador Comunitario;Nueve de Julio;-3.546.128.061;-6.086.981.368;French ;702;;;;Mariano Moreno ;;;;;;;;;;;;;;;;;;;;;;;;;(2317) 427166;;;;;;;;;;;;;;;;;;
73;Servicio Local de Niñez;Niñez y Adolescencia;Oficinas Gubernamentales;Adolfo Alsina;-3.717.846.522;-6.275.701.324;Avenida Colón ;883;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;(2936) 410017;(2936) 404404;;;;;;;;;;08:00-13:00;08:00-13:00;08:00-13:00;08:00-13:00;08:00-13:00;;;
74;Desarrollo Social;Desarrollo y Acción Social;Oficinas Gubernamentales;Adolfo Alsina;-37.180.344;-62.760.944;Carlos Pellegrini ;;;;;Rivadavia;;;;Patricia  Fernandez;;;;;;;;;;;;;;;;;;;;;(2936) 430575;;;;;;;;;;;07:00-13:00;07:00-13:00;07:00-13:00;07:00-13:00;07:00-13:00;;;
75;Comisaría de la Mujer;Seguridad;Comisarías de la Mujer;Adolfo Alsina;-37.172.683;-62.752.878;General Savio ;962;;;;Rivadavia;San Martín;;;Luis María  Perdigón (Jefe  Subcrio.);;;;;;;;;;;;;;;;;;;;;(2936) 430999;;;;;;;;;;;;;;;;;;
76;Colegio Profesional de Trabajadores/as Sociales;Otros servicios;Trabajadores/as Sociales;Trenque Lauquen;-35.969.177;-62.728.231;Mitre;;;;;Saenz Peña;;;;;;;;;;;;;;;;;;;Mail;catstl2007@yahoo.com.ar;;;;;(2392) 422449;;;;;;;;;;;08:00-12:00;16:00-20:00;16:00-20:00;16:00-20:00;16:00-20:00;;;
77;Juzgado de Paz;Justicia;Juzgados;Adolfo Alsina;-371.780.805;-6.276.087.782;Rivadavia;840;;;;;;;;Mariela Fabiana  Ebertz;;;;;;;;;;;;;;;;;;;;;(2936) 432242;(2936) 430898;;;;;;;;;;08:00-14:00;08:00-14:00;08:00-14:00;08:00-14:00;08:00-14:00;;;
78;Ayudantía Fiscal;Justicia;Unidades Fiscales;Adolfo Alsina;-371.813.799;-6.276.046.182;25 de Mayo ;1060;;;;Pellegrini;Saenz Peña;;;;;;;;;;;;;;;;;;;;;;;;(2936) 430270;;;;;;;;;;;08:00-14:00;08:00-14:00;08:00-14:00;08:00-14:00;08:00-14:00;;;
79;Defensoría General;Justicia;Unidades de la Defensa;Trenque Lauquen;-35.974.466;-62.731.243;San Martín ;689;;;;Alem ;;;;María Elena  Amantegui (Defensor);;;;;;;;;;;;;;;;;;;;;(2392) 432853;(2392) 426193;(2392) 422511;;;;;;;;;;;;;;;;
80;Unidad Funcional de Defensa Civil N° 1;Justicia;Unidades de la Defensa;Trenque Lauquen;-359.746.449;-6.273.346.612;Além ;21;;;;;;;;María De Las Mercedes  Esnaola (Defensora oficial);;;;;;;;;;;;;;;;;;;;;(2392) 432853;(2392) 426193;(2392) 422511;;;;;;;;;;;;;;;;
81;Asesoría de Incapaces;Justicia;Asesorías;Trenque Lauquen;-35.971.374;-62.733.267;San Martín ;384;;;;;;;;Ana María  Hernández Gómez (Asesora de incapaces);;;;;;;;;;;;;;;;;;;;;(2392) 432414;;;;;;;;;;;;;;;;;;
82;Asesoría de Incapaces N° 2;Justicia;Asesorías;Trenque Lauquen;-359.711.443;-6.273.332.252;San Martín ;356;;;;;;;;Rubén Romulo  Abregu (Asesor);;;;;;;;;;;;;;;;;;;;;(2392) 431399;;;;;;;;;;;;;;;;;;
83;Centro Provincial de Atención en Adicciones;Salud;Adicciones;Adolfo Alsina;-371.764.431;-627.627.752;Mitre ;1300;;;;;;;;María Pía  Mazone (Directora);;;;;;;;;;;;;;;Mail;cpaadolfoalsina@yahoo.com.ar;Web;http://www.msal.gov.ar;;;(2936) 430581;;;;;;;;;;;08:00-14:00;08:00-14:00;08:00-14:00;08:00-14:00;08:00-14:00;;;
85;Hospital Municipal Dr. Noé Yarcho;Salud;Hospitales;Adolfo Alsina;-3.716.210.435;-6.323.784.971;Doctor Noé Yarcho ;;;;;T. Hertzel;;;;;;;;;;;;;;;;;;;;;;;;;(2935) 432014;(2935) 432269;;;;;;;;;;;;;;;;;
86;Acción Social;Desarrollo y Acción Social;Oficinas Gubernamentales;Adolfo Gonzales Chaves;-3.803.641.968;-6.010.087.786;Sáenz Peña;350;0;;;;;;;María Cristina  Elicetche;;;;;;;;;;;;;;;Mail;accionsocial@gonzleschaves.gob.ar;;;;;(2983) 481311;;;;;;;;;;;;;;;;;;
87;Hospital Municipal Dr. Demetrio Carmelo Loyarte;Salud;Hospitales;Adolfo Alsina;-3.680.187.221;-6.334.160.171;25 de Mayo ;476;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(2935) 498094;;;;;;;;;;;;;;;;;;
88;Hogar de Ancianos General Nicolás Levalle;Otros servicios;Tercera Edad;Adolfo Alsina;-3.717.659.496;-6.274.956.937;Boulevar Adolfo Alsina ;330;;;;Leonardi ;;;;;;;;;;;;;;;;;;;;;;;;;(2936) 432118;;;;;;;;;;;;;;;;;;
89;Servicio Local de Niñez;Niñez y Adolescencia;Oficinas Gubernamentales;Adolfo Gonzales Chaves;-3.803.413.741;-6.009.699.239;Maipú;231;;;;;;;;Hernán  Juliano;;;;;;;;;;;;;;;Mail;serviciolocalchaves@hotmail.com;;;;;(2983) 484040;(2983) 551106;;;;;;;;;;;;;;;;;
90;Unidad Sanitaria del Barrio Arturo Illia;Salud;Atención Primaria - CAPS;Adolfo Alsina;-3.718.683.159;-6.277.065.809;Calle 5;;;;;Calle 10 ;Cafulcurá;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;Comisaría de la Mujer;Seguridad;Comisarías de la Mujer;Adolfo Gonzales Chaves;-3.802.877.266;-6.009.610.102;Mar del Plata;134;;;;;;;;Yanina  Elizeche (Subcomisaria);;;;;;;;;;;;;;;;;;;;;(2983) 482406;(2983) 600332;(2983) 570534;;;;;;;;;;;;;;;;
92;Juzgado de Paz;Justicia;Juzgados;Adolfo Gonzales Chaves;-38.037.096;-60.090.558;Lavalle;240;;;;;;;;Maria Silvina  Giancaterino;;;;;;;;;;;;;;;;;;;;;(2983) 481536;;;;;;;;;;;08:00-14:00;08:00-14:00;08:00-14:00;08:00-14:00;08:00-14:00;;;
93;Hospital Local General Anita Elicagaray;Salud;Hospitales;Adolfo Gonzales Chaves;-3.803.694.095;-6.010.229.474;Torchiari;200;;;;;;;;;;;;;;;;;;;;;;;Mail;hospital@agrored.net.ar;;;;;(2983) 484452;(2983) 484449;;;;;;;;;;;;;;;;;
94;Unidad Sanitaria Dr. Francisco Madueño;Salud;Atención Primaria - CAPS;Adolfo Gonzales Chaves;-3.796.461.451;-6.041.540.512;Doctor Víctor Barrera;208;;;;;;;;;;;;;;;;;;;;;;;Mail;hospital@agrored.net.ar;;;;;(2983) 494092;;;;;;;;;;;;;;;;;;
95;Servicio Local de Niñez;Niñez y Adolescencia;Oficinas Gubernamentales;Alberti;-35.028.966;-60.284.739;Avenida Libertados General San Martín;;;;;Colombia;;;;Maria A  Vito;;;Mariana  Seira;;;;;;;;;;;;;;;;;;(2346) 471124;;;;;;;;;;;08:00-14:00;08:00-14:00;08:00-14:00;08:00-14:00;08:00-14:00;;;
97;Unidad Sanitaria Colonia Lapín;Salud;Atención Primaria - CAPS;Adolfo Alsina;-3.737.291.864;-6.305.135.498;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(2924) 490233;;;;;;;;;;;;;;;;;;
98;Unidad Sanitaria Dr. J.C. Senepart;Salud;Atención Primaria - CAPS;Adolfo Alsina;-3.745.572.089;-6.325.537.226;Esteban Agustín Gascón;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;Unidad Sanitaria Murature;Salud;Atención Primaria - CAPS;Adolfo Alsina;-3.668.531.136;-6.337.880.188;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;Unidad Sanitaria Villa Goldberg;Salud;Atención Primaria - CAPS;Adolfo Alsina;-3.715.993.126;-6.324.667.153;Colonia Villa Golberg;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(2935) 432099;;;;;;;;;;;;;;;;;;
101;Unidad Sanitaria San Miguel Arcángel;Salud;Atención Primaria - CAPS;Adolfo Alsina;-3.744.782.352;-6.311.570.732;9 de Julio ;;;;;Los Fundadores;;;;;;;;;;;;;;;;;;;;;;;;;(2924) 497051;;;;;;;;;;;;;;;;;;
102;Unidad de Fortalecimiento Familiar;Justicia;Oficinas Gubernamentales;Almirante Brown;-34.812.103;-58.375.995;Cerreti ;;0;;;España;;;;Gabriela  Piarresteguy;;1165378448;;;;;;;;;;;;;;;;;;;(11) 42384945;(11) 69873792;;;;;;;;;;08:00-14:00;08:00-14:00;08:00-14:00;08:00-14:00;08:00-14:00;;;
103;Centro Integrador Comunitario de Don Orione;Desarrollo y Acción Social;Centro Integrador Comunitario;Almirante Brown;-3.481.793;-58.347.182;Avenida Eva Perón ;;;;;Carcarañá;;;;Germán  Bounemenzon (Director);;;Rodrigo  Barandiaran (Área Prevención);;;;;;;;;;;;;;;;;;(11) 42681679;;;;;;;;;;;;;;;;;;
104;Subsecretaría de Derechos Humanos e Igualdad de Oportunidades;Otros servicios;Derechos Humanos;Almirante Brown;-34.798.551;-58.390.114;Esteban Adrogué ;1224;;;;;;;;Rodrigo  Barandiarán;;;;;;;;;;;;;;;;;;;;;(11) 2947844;;;;;;;;;;;;;;;;;;
105;Servicio Local de Niñez;Niñez y Adolescencia;Oficinas Gubernamentales;Almirante Brown;-34.807.971;-58.378.938;Cerreti;1852;1;;;España;  ;;;Darío  Gómez Gil (Director);;;;;;;;;;;;;;;;;;;;;(11) 42997616;;;;;;;;;;;;;;;;;;
